Nombre del Parque,Ubicación (País)
Object,Desconocido
MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD RESORT,LAKE BUENA VISTA
DISNEYLAND PARK AT DISNEYLAND RESORT,ANAHEIM
UNIVERSAL STUDIOS JAPAN,OSAKA
TOKYO DISNEYLAND AT TOKYO DISNEY RESORT,TOKYO
SHANGHAI DISNEYLAND AT SHANGHAI DISNEY RESORT,SHANGHAI
CHIMELONG OCEAN KINGDOM,HENGQIN
TOKYO DISNEYSEA AT TOKYO DISNEY RESORT,TOKYO
EPCOT AT WALT DISNEY WORLD,LAKE BUENA VISTA
DISNEYLAND PARK AT DISNEYLAND PARIS,MARNE-LA-VALLEE
DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD,LAKE BUENA VISTA
UNIVERSAL'S ISLANDS OF ADVENTURE AT UNIVERSAL ORLANDO,Desconocido
DISNEY CALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT,ANAHEIM
UNIVERSAL STUDIOS FLORIDA AT UNIVERSAL ORLANDO,Desconocido
UNIVERSAL STUDIOS HOLLYWOOD,UNIVERSAL CITY
UNIVERSAL STUDIOS BEIJING,BEIJING
DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD,LAKE BUENA VISTA
HONG KONG DISNEYLAND,HONG KONG
EUROPA-PARK,RUST
EVERLAND,GYEONGGI-DO
WALT DISNEY STUDIOS PARK AT DISNEYLAND PARIS,MARNE-LA-VALLEE
CHIMELONG PARADISE,GUANGZHOU
"DE EFTELING, EFTELING THEME PARK RESORT",KAATSHEUVEL
LOTTE WORLD,SEOUL
ZIGONG FANTAWILD DINO KINGDOM,ZIGONG
MIANYANG FANTAWILD ORIENTAL HERITAGE,MIANYANG
JINGZHOU FANTAWILD ORIENTAL HERITAGE,JINGZHOU
ZHENGZHOU FANTAWILD ADVENTURE,ZHENGZHOU
SEAWORLD ORLANDO,ORLANDO
OCT HAPPY VALLEY,BEIJING
CHINA DINOSAUR PARK,CHANGZHOU
SHANGHAI HAICHANG OCEAN PARK,SHANGHAI
TAIZHOU FANTAWILD WILD LAND,TAIZHOU
TAIYUAN FANTAWILD ORIENTAL HERITAGE,TAIYUAN
KNOTT'S BERRY FARM,BUENA PARK
SHENYANG FANTAWILD ADVENTURE,SHENYANG
CEDAR POINT,SANDUSKY
TIVOLI GARDENS,COPENHAGEN
BUSCH GARDENS TAMPA BAY,TAMPA
SEAWORLD SAN DIEGO,SAN DIEGO
PORTAVENTURA WORLD,SALOU
KINGS ISLAND,KINGS ISLAND
SIX FLAGS MAGIC MOUNTAIN,VALENCIA
HERSHEYPARK,HERSHEY
"CANADA'S WONDERLAND, MAPLE",ONTARIO
GARDALAND,CASTELNUOVO DEL GARDA
SIX FLAGS GREAT AMERICA,GURNEE
PARC ASTERIX,PLAILLY
BETO CARRERO WORLD,SANTA CATARINA
SIX FLAGS GREAT ADVENTURE,JACKSON
PUY DU FOU,LES EPESSES
LEGOLAND WINDSOR,WINDSOR
ALTON TOWERS,STAFFORDSHIRE
LEGOLAND BILLUND,BILLUND
LISEBERG,GOTHENBURG
PHANTASIALAND,BRÜHL
SIX FLAGS MEXICO,MEXICO CITY
PARQUE WARNER,MADRID
FUTUROSCOPE,JAUNAY-CLAN
WARNER BROS ABU DHABI,ABU DHABI
HEIDE PARK,SOLTAU
PARQUE XCARET,CANCUN
THORPE PARK,CHERTSEY
"LEGOLAND DEUTSCHLAND, GÜNZBURG",GERMANY
HOPI HARI,VINHEDO
PARQUE MUNDO AVENTURA,BOGOTÁ
FANTASIALANDIA,SANTIAGO
MUNDO PETAPA,GUATEMALA CITY
THEME PARQUE NACIONAL DEL CAFÉ,QUINDIO
PARQUE DE LA COSTA,BUENOS AIRES
EL SALITRE MAGICO,BOGOTÁ
