REF_CLOSING_DESCRIPTION,ENTITY_DESCRIPTION_SHORT,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE
,Tivoli Gardens,PARK,2018-11-19 10:00:00.000,2018-11-19 18:00:00.000,2018-11-20 08:24:32.000,2018-11-19
,PortAventura World,PARK,2018-07-17 08:30:00.000,2018-07-17 09:30:00.000,2018-07-18 07:48:41.000,2018-07-17
,Tivoli Gardens,PARK,2019-04-19 08:30:00.000,2019-04-19 09:30:00.000,2019-04-20 07:43:35.000,2019-04-19
,PortAventura World,PARK,2019-02-28 08:30:00.000,2019-02-28 09:30:00.000,2019-03-01 09:23:40.000,2019-02-28
,PortAventura World,PARK,2019-08-18 08:30:00.000,2019-08-18 09:30:00.000,2019-08-19 07:34:17.000,2019-08-18
,PortAventura World,PARK,2020-02-05 10:00:00.000,2020-02-05 19:00:00.000,2020-02-06 08:09:23.000,2020-02-05
,Tivoli Gardens,PARK,2018-05-04 08:30:00.000,2018-05-04 09:30:00.000,2018-05-05 11:16:52.000,2018-05-04
,Tivoli Gardens,PARK,2020-01-29 08:30:00.000,2020-01-29 09:30:00.000,2020-02-03 15:22:24.000,2020-01-29
,PortAventura World,PARK,2019-02-16 08:30:00.000,2019-02-16 09:30:00.000,2019-02-17 09:22:24.000,2019-02-16
,PortAventura World,PARK,2019-06-07 10:00:00.000,2019-06-07 23:00:00.000,2019-06-08 07:47:29.000,2019-06-07
,PortAventura World,PARK,2019-07-14 08:30:00.000,2019-07-14 09:30:00.000,2019-07-15 07:19:58.000,2019-07-14
,Tivoli Gardens,PARK,2019-01-10 10:00:00.000,2019-01-10 18:00:00.000,2019-01-11 07:49:14.000,2019-01-10
,PortAventura World,PARK,2019-03-04 10:00:00.000,2019-03-04 19:30:00.000,2019-03-05 07:48:17.000,2019-03-04
,Tivoli Gardens,PARK,2019-01-13 08:30:00.000,2019-01-13 09:30:00.000,2019-01-14 06:58:25.000,2019-01-13
,Tivoli Gardens,PARK,2019-10-19 10:00:00.000,2019-10-19 20:00:00.000,2019-10-20 07:56:05.000,2019-10-19
,PortAventura World,PARK,2018-03-18 08:30:00.000,2018-03-18 09:30:00.000,2018-03-19 09:06:33.000,2018-03-18
,PortAventura World,PARK,2022-04-23 09:30:00.000,2022-04-23 23:00:00.000,2022-04-24 09:16:10.000,2022-04-23
,PortAventura World,PARK,2019-03-29 08:30:00.000,2019-03-29 09:30:00.000,2019-03-30 07:46:10.000,2019-03-29
,PortAventura World,PARK,2018-01-05 09:00:00.000,2018-01-05 22:00:00.000,2018-01-06 09:16:58.000,2018-01-05
,Tivoli Gardens,PARK,2019-06-11 08:30:00.000,2019-06-11 09:30:00.000,2019-06-12 07:48:08.000,2019-06-11
,Tivoli Gardens,PARK,2019-04-20 10:00:00.000,2019-04-20 20:00:00.000,2019-04-21 07:55:32.000,2019-04-20
,PortAventura World,PARK,2022-07-30 08:30:00.000,2022-07-30 09:30:00.000,2022-07-31 07:48:15.000,2022-07-30
,Tivoli Gardens,PARK,2018-05-30 08:30:00.000,2018-05-30 09:30:00.000,2019-09-30 16:39:43.000,2018-05-30
,PortAventura World,PARK,2022-06-12 09:30:00.000,2022-06-12 23:00:00.000,2022-06-13 12:05:34.000,2022-06-12
,Tivoli Gardens,PARK,2018-03-11 08:30:00.000,2018-03-11 09:30:00.000,2018-03-12 07:48:54.000,2018-03-11
,PortAventura World,PARK,2022-06-24 08:30:00.000,2022-06-24 09:30:00.000,2022-06-25 08:04:34.000,2022-06-24
,Tivoli Gardens,PARK,2018-06-14 08:30:00.000,2018-06-14 09:30:00.000,2018-06-15 08:46:00.000,2018-06-14
,Tivoli Gardens,PARK,2022-04-27 08:30:00.000,2022-04-27 09:30:00.000,2022-04-28 08:08:54.000,2022-04-27
,PortAventura World,PARK,2019-03-24 08:30:00.000,2019-03-24 09:30:00.000,2019-03-25 07:43:04.000,2019-03-24
,PortAventura World,PARK,2019-06-29 10:00:00.000,2019-06-29 23:00:00.000,2019-06-30 08:14:25.000,2019-06-29
,Tivoli Gardens,PARK,2018-01-26 10:00:00.000,2018-01-26 19:00:00.000,2018-01-27 08:54:28.000,2018-01-26
,PortAventura World,PARK,2018-06-22 08:30:00.000,2018-06-22 09:30:00.000,2018-06-23 07:57:00.000,2018-06-22
,Tivoli Gardens,PARK,2019-11-27 08:30:00.000,2019-11-27 09:30:00.000,2019-11-28 07:43:53.000,2019-11-27
,PortAventura World,PARK,2019-07-12 10:00:00.000,2019-07-12 23:00:00.000,2019-07-13 07:21:03.000,2019-07-12
,PortAventura World,PARK,2019-06-01 08:30:00.000,2019-06-01 09:30:00.000,2019-06-02 07:54:27.000,2019-06-01
,PortAventura World,PARK,2018-01-19 08:30:00.000,2018-01-19 09:30:00.000,2018-01-20 09:00:21.000,2018-01-19
,Tivoli Gardens,PARK,2020-02-15 08:30:00.000,2020-02-15 09:30:00.000,2020-02-16 07:24:27.000,2020-02-15
,PortAventura World,PARK,2019-11-23 08:30:00.000,2019-11-23 09:30:00.000,2019-11-24 08:07:12.000,2019-11-23
