Aeropuertos,Total,% Inc 2025 /s 2024
,,
ADOLFO SUÁREZ MADRID-BARAJAS,5922644.0,0.012197689664742883
BARCELONA-EL PRAT J.T.,5279003.0,0.04273945414526725
PALMA DE MALLORCA,4113337.0,0.009472260806824506
MÁLAGA-COSTA DEL SOL,2626561.0,0.04962599575283999
ALICANTE-ELCHE MIGUEL HDEZ.,1907274.0,0.05880844260383933
IBIZA,1227406.0,0.006136467965112358
GRAN CANARIA,1186060.0,0.061679947437864424
VALENCIA,1071198.0,0.01229173183291099
TENERIFE SUR,996795.0,-0.001007215874924805
SEVILLA,821916.0,0.03215581871381756
LANZAROTE CÉSAR MANRIQUE,708898.0,0.0027611727062604174
BILBAO,676912.0,0.020804806398880382
TENERIFE NORTE-C. LA LAGUNA,633010.0,0.07620169707355973
MENORCA,573894.0,-0.008071708575023706
FUERTEVENTURA,556869.0,0.07750162050250098
SANTIAGO-ROSALÍA DE CASTRO,303244.0,-0.0733454343215807
GIRONA-COSTA BRAVA,299797.0,-0.017728893082750163
REUS,207811.0,0.15712837988329098
ASTURIAS,191248.0,0.02279315028932638
LA PALMA,121409.0,0.01830976464865053
AEROPUERTO INTL. REGIÓN MURCIA,112507.0,0.025204800393654248
A CORUÑA,108743.0,-0.014214357588998361
JEREZ DE LA FRONTERA,102997.0,-0.04089804356125859
SEVE BALLESTEROS-SANTANDER,100394.0,-0.06498901017024927
VIGO,92952.0,-0.074349220259316
FGL GRANADA-JAÉN,92821.0,0.006866403436455837
ALMERÍA,87505.0,0.03319007249628081
ZARAGOZA,63279.0,-0.020812701163654412
MELILLA,45969.0,0.06176232821341965
SAN SEBASTIÁN,44382.0,-0.07121481636496807
EL HIERRO,28522.0,-0.07883603010044249
VITORIA,25363.0,0.003918619379354116
PAMPLONA,20112.0,0.07069846678023861
LA GOMERA,11351.0,0.0563000186115763
BADAJOZ,9034.0,0.2484798231066887
CEUTA /HELIPUERTO,7329.0,0.08417159763313609
VALLADOLID,6037.0,-0.5853139167468059
LEÓN,6014.0,0.11308532296872098
SALAMANCA,4014.0,0.01133786848072571
ALGECIRAS /HELIPUERTO,3240.0,0.18291347207009867
CÓRDOBA,3182.0,4.4393162393162395
LOGROÑO,2839.0,0.2730941704035874
SON BONET,1159.0,0.2187171398527865
SABADELL,430.0,-0.07526881720430112
MADRID-CUATRO VIENTOS,314.0,0.9873417721518987
ALBACETE,207.0,1.875
HUESCA-PIRINEOS,144.0,---
BURGOS,19.0,-0.9191489361702128
Total aeropuertos españoles,30406145.0,0.025413929732940065
